Distrito;Barrio
Comuna 15;Agronomia
Comuna 3;Balvanera
Comuna 13;Belgrano
Comuna 6;Caballito
Comuna 15;Chacarita
Comuna 12;Coghlan
Comuna 13;Colegiales
Comuna 1;Constitucion
Comuna 15;La Paternal
Comuna 9;Mataderos
Comuna 10;Monte Castro
Comuna 4;Nueva Pompeya
Comuna 13;Nunez
Comuna 9;Parque Avellaneda
Comuna 7;Parque Chacabuco
Comuna 15;Parque Chas
Comuna 4;Parque Patricios
Comuna 1;Puerto Madero
Comuna 2;Recoleta
Comuna 12;Saavedra
Comuna 1;San Nicolas
Comuna 1;San Telmo
Comuna 10;Velez Sarsfield
Comuna 15;Villa Crespo
Comuna 11;Villa del Parque
Comuna 11;Villa Devoto
Comuna 11;Villa Gral. Mitre
Comuna 8;Villa Lugano
Comuna 10;Villa Luro
Comuna 15;Villa Ortuzar
Comuna 12;Villa Pueyrredon
Comuna 10;Villa Real
Comuna 8;Villa Riachuelo
Comuna 11;Villa Santa Rita
Comuna 8;Villa Soldati
Comuna 12;Villa Urquiza
